iter	Passed	Remaining
445	1218	1513
446	1221	1511
447	1223	1507
448	1228	1507
449	1232	1506
450	1235	1504
451	1240	1503
452	1242	1500
453	1245	1497
454	1247	1494
455	1250	1491
456	1252	1488
457	1257	1488
458	1260	1485
459	1262	1482
460	1265	1479
461	1267	1475
462	1269	1472
463	1272	1470
464	1274	1466
465	1277	1463
466	1279	1460
467	1281	1457
468	1284	1453
469	1287	1451
470	1289	1448
471	1292	1446
472	1295	1442
473	1297	1439
474	1300	1437
475	1302	1433
476	1305	1431
477	1308	1428
478	1310	1425
479	1312	1422
480	1315	1419
481	1319	1417
482	1321	1414
483	1326	1413
484	1332	1415
485	1335	1412
486	1337	1409
487	1340	1406
488	1343	1403
489	1347	1402
490	1350	1399
491	1353	1397
492	1357	1395
493	1359	1392
494	1362	1390
495	1365	1387
496	1367	1383
497	1369	1380
498	1371	1377
499	1373	1373
500	1377	1372
501	1380	1369
502	1382	1366
503	1384	1362
504	1387	1359
505	1392	1359
506	1397	1358
507	1400	1356
508	1407	1357
509	1410	1355
510	1413	1352
511	1416	1350
512	1419	1347
513	1422	1345
514	1425	1342
515	1427	1339
516	1430	1336
517	1432	1333
518	1435	1330
519	1438	1328
520	1441	1324
521	1443	1321
522	1446	1318
523	1448	1315
524	1452	1313
525	1454	1311
526	1457	1308
527	1459	1304
528	1462	1301
529	1465	1299
530	1468	1296
531	1470	1293
532	1473	1290
533	1475	1287
534	1477	1284
535	1480	1281
536	1483	1279
537	1485	1275
538	1488	1273
539	1491	1270
540	1493	1267
541	1496	1264
542	1499	1261
543	1502	1259
544	1504	1256
545	1507	1253
546	1510	1250
547	1513	1248
548	1516	1245
549	1519	1242
550	1521	1240
551	1524	1237
552	1527	1234
553	1529	1231
554	1532	1228
555	1534	1225
556	1537	1222
557	1540	1220
558	1543	1217
559	1545	1214
560	1547	1211
561	1550	1208
562	1552	1205
563	1556	1203
564	1558	1200
565	1561	1197
566	1563	1194
567	1566	1191
568	1568	1188
569	1571	1185
570	1573	1182
571	1576	1179
572	1579	1176
573	1581	1173
574	1585	1171
575	1588	1168
576	1590	1166
577	1593	1163
578	1595	1160
579	1598	1157
580	1601	1154
581	1604	1152
582	1606	1149
583	1609	1146
584	1611	1143
585	1614	1140
586	1617	1137
587	1619	1134
588	1622	1131
589	1624	1128
590	1626	1125
591	1630	1123
592	1633	1121
593	1635	1118
594	1638	1115
595	1641	1112
596	1643	1109
597	1647	1107
598	1649	1104
599	1651	1101
600	1653	1098
601	1656	1095
602	1659	1092
603	1662	1089
604	1664	1086
605	1667	1083
606	1669	1080
607	1671	1077
608	1674	1075
609	1677	1072
610	1679	1069
611	1682	1066
612	1685	1063
613	1688	1061
614	1691	1058
